<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv
doy      	- +0.08 +0.25 +0.14 -0.02 +0.16 +0.11 
Bz      	- +0.04 +0.16 +0.13 -0.05 +0.16 +0.01 
Vsw      	- +0.04 +0.15 +0.14 -0.00 +0.15 +0.06 
Dst      	- +0.09 +0.24 +0.13 +0.08 +0.14 +0.14 
MLT      	- +0.05 +0.22 +0.16 +0.03 +0.19 +0.13 
F107      	- +0.40 +0.44 +0.43 +0.26 +0.42 +0.39 
Rhosw      	- +0.16 +0.27 +0.32 +0.08 +0.27 +0.19 
doy+Bz   	- +0.11 +0.30 +0.24 +0.01 +0.22 +0.11 
doy+Vsw   	- +0.10 +0.28 +0.23 -0.00 +0.24 +0.07 
doy+Dst   	- +0.13 +0.32 +0.24 -0.05 +0.25 -0.01 
doy+MLT   	- +0.18 +0.35 +0.30 +0.09 +0.29 +0.19 
doy+F107   	- +0.41 +0.47 +0.42 +0.25 +0.46 +0.37 
doy+Rhosw   	- +0.17 +0.33 +0.42 -0.19 +0.34 +0.06 
Bz+Vsw   	- +0.08 +0.18 +0.23 -0.07 +0.25 +0.00 
Bz+Dst   	- +0.08 +0.20 +0.22 -0.07 +0.25 -0.06 
Bz+MLT   	- +0.09 +0.33 +0.25 -0.06 +0.29 +0.03 
Bz+F107   	- +0.43 +0.46 +0.45 +0.33 +0.48 +0.39 
Bz+Rhosw   	- +0.16 +0.37 +0.34 +0.13 +0.37 +0.15 
Vsw+Dst   	- +0.10 +0.33 +0.24 -0.03 +0.22 +0.15 
Vsw+MLT   	- +0.10 +0.31 +0.30 +0.04 +0.29 +0.10 
Vsw+F107   	- +0.42 +0.48 +0.46 +0.31 +0.44 +0.31 
Vsw+Rhosw   	- +0.22 +0.38 +0.38 +0.05 +0.37 +0.10 
Dst+MLT   	- +0.14 +0.26 +0.25 -0.00 +0.30 +0.06 
Dst+F107   	- +0.42 +0.46 +0.43 +0.22 +0.45 +0.31 
Dst+Rhosw   	- +0.21 +0.31 +0.31 +0.01 +0.34 +0.00 
MLT+F107   	- +0.37 +0.45 +0.43 +0.27 +0.38 +0.27 
MLT+Rhosw   	- +0.12 +0.42 +0.46 +0.04 +0.45 +0.15 
F107+Rhosw   	- +0.42 +0.55 +0.52 +0.20 +0.52 +0.33 
doy+Bz+Vsw   	- +0.12 +0.29 +0.28 -0.01 +0.28 +0.09 
doy+Bz+Dst   	- +0.15 +0.34 +0.30 -0.05 +0.32 +0.01 
doy+Bz+MLT   	- +0.20 +0.52 +0.39 +0.09 +0.39 +0.24 
doy+Bz+F107   	- +0.44 +0.52 +0.48 +0.30 +0.50 +0.36 
doy+Bz+Rhosw   	- +0.18 +0.34 +0.51 -0.11 +0.45 +0.04 
doy+Vsw+Dst   	- +0.15 +0.37 +0.30 -0.03 +0.30 +0.08 
doy+Vsw+MLT   	- +0.20 +0.41 +0.37 -0.03 +0.38 +0.12 
