<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv
Bz      	- -0.05 +0.22 -0.04 -0.03 -0.04 +0.09 
Vsw      	- +0.01 +0.21 -0.02 +0.02 +0.00 +0.11 
Dst      	- +0.04 +0.20 +0.03 +0.03 -0.00 +0.09 
F107      	- +0.50 +0.54 +0.55 +0.45 +0.53 +0.48 
Dst+F107   	- +0.51 +0.56 +0.56 +0.45 +0.55 +0.49 
Vsw+F107   	- +0.50 +0.56 +0.54 +0.39 +0.56 +0.50 
Vsw+Dst   	- +0.03 +0.26 +0.09 +0.01 +0.12 +0.08 
Bz+F107   	- +0.52 +0.59 +0.55 +0.42 +0.55 +0.48 
Bz+Dst   	- +0.04 +0.30 +0.12 -0.02 +0.13 +0.07 
Bz+Vsw   	- +0.02 +0.26 +0.11 +0.02 +0.11 +0.05 
Bz+Vsw+Dst   	- +0.05 +0.30 +0.21 +0.01 +0.21 +0.09 
Bz+Vsw+F107   	- +0.51 +0.59 +0.55 +0.38 +0.59 +0.48 
Bz+Dst+F107   	- +0.51 +0.57 +0.55 +0.37 +0.59 +0.47 
Vsw+Dst+F107   	- +0.51 +0.56 +0.56 +0.41 +0.58 +0.45 
Bz+Vsw+Dst+F107	- +0.52 +0.58 +0.58 +0.33 +0.59 +0.42 
