<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
W3	 0.00 	 0.07 	 0.00 	 0.01
Pdyn	 0.01 	 0.04 	 0.00 	 0.00
ByIMF	 0.01 	 0.03 	 0.00 	 0.00
Day	 0.02 	 0.20 	 0.00 	 0.04
dst	 0.02 	 0.05 	 0.00 	 0.00
G1	 0.02 	 0.07 	 0.00 	 0.00
DBS	 0.04 	 0.05 	 0.00 	 0.00
6stat	 0.04 	 0.04 	 0.00 	 0.00
8stat	 0.05 	 0.05 	 0.00 	 0.00
G3	 0.06 	 0.06 	 0.00 	 0.00
W6	 0.06 	 0.06 	 0.00 	 0.00
W4	 0.06 	 0.07 	 0.00 	 0.00
Den_P	 0.07 	 0.08 	 0.01 	 0.01
BS	 0.08 	 0.09 	 0.01 	 0.01
W1	 0.08 	 0.08 	 0.01 	 0.01
G2	 0.08 	 0.08 	 0.01 	 0.01
VBS	 0.08 	 0.09 	 0.01 	 0.01
W2	 0.08 	 0.09 	 0.01 	 0.01
Hr	 0.09 	 0.21 	 0.01 	 0.05
W5	 0.09 	 0.09 	 0.01 	 0.01
kp	 0.10 	 0.13 	 0.01 	 0.02
akp3	 0.11 	 0.15 	 0.01 	 0.02
DBz	 0.12 	 0.13 	 0.01 	 0.02
VBz	 0.12 	 0.16 	 0.02 	 0.03
BzIMF	 0.14 	 0.20 	 0.02 	 0.04
Bz1	 0.14 	 0.20 	 0.02 	 0.04
Bz2	 0.14 	 0.20 	 0.02 	 0.04
Bz3	 0.14 	 0.20 	 0.02 	 0.04
Bz4	 0.14 	 0.20 	 0.02 	 0.04
Bz5	 0.14 	 0.20 	 0.02 	 0.04
Bz6	 0.14 	 0.20 	 0.02 	 0.04
Hr+Bz	 0.16 	 0.28 	 0.03 	 0.08
V_SW	 0.19 	 0.20 	 0.04 	 0.04
Bz+V	 0.23 	 0.28 	 0.05 	 0.08
Year	 0.36 	 0.36 	 0.13 	 0.13
lnF107	 0.43 	 0.43 	 0.18 	 0.19
F107	 0.43 	 0.43 	 0.19 	 0.19
F107+V	 0.44 	 0.44 	 0.20 	 0.20
F107+Bz	 0.45 	 0.45 	 0.20 	 0.20

</pre>
