<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
G1	 0.02 	 0.03 	 0.00 	 0.00
ByIMF	 0.02 	 0.03 	 0.00 	 0.00
Pdyn	 0.02 	 0.04 	 0.00 	 0.00
Day	 0.03 	 0.05 	 0.00 	 0.00
DBS	 0.04 	 0.05 	 0.00 	 0.00
G3	 0.04 	 0.07 	 0.00 	 0.01
6stat	 0.06 	 0.06 	 0.00 	 0.00
W6	 0.06 	 0.09 	 0.00 	 0.01
8stat	 0.06 	 0.07 	 0.00 	 0.00
BS	 0.07 	 0.12 	 0.00 	 0.01
VBS	 0.07 	 0.13 	 0.01 	 0.02
W4	 0.07 	 0.11 	 0.01 	 0.01
G2	 0.08 	 0.13 	 0.01 	 0.02
Hr	 0.08 	 0.20 	 0.01 	 0.04
W2	 0.09 	 0.13 	 0.01 	 0.02
W5	 0.09 	 0.14 	 0.01 	 0.02
Den_P	 0.09 	 0.10 	 0.01 	 0.01
VBz	 0.10 	 0.17 	 0.01 	 0.03
W1	 0.10 	 0.14 	 0.01 	 0.02
DBz	 0.12 	 0.13 	 0.01 	 0.02
BzIMF	 0.13 	 0.22 	 0.02 	 0.05
Bz1	 0.13 	 0.22 	 0.02 	 0.05
Bz2	 0.13 	 0.22 	 0.02 	 0.05
Bz3	 0.13 	 0.22 	 0.02 	 0.05
Bz4	 0.13 	 0.22 	 0.02 	 0.05
Bz5	 0.13 	 0.22 	 0.02 	 0.05
Bz6	 0.13 	 0.22 	 0.02 	 0.05
W3	 0.13 	 0.13 	 0.02 	 0.02
kp	 0.14 	 0.22 	 0.02 	 0.05
Hr+Bz	 0.15 	 0.28 	 0.02 	 0.08
dst	 0.18 	 0.21 	 0.03 	 0.04
akp3	 0.19 	 0.27 	 0.04 	 0.07
V_SW	 0.26 	 0.26 	 0.07 	 0.07
Bz+V	 0.28 	 0.35 	 0.08 	 0.12
Year	 0.33 	 0.33 	 0.11 	 0.11
lnF107	 0.43 	 0.43 	 0.18 	 0.19
F107	 0.43 	 0.43 	 0.19 	 0.19
F107+V	 0.44 	 0.44 	 0.20 	 0.20
F107+Bz	 0.45 	 0.45 	 0.20 	 0.20

</pre>
