<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Day	 0.00 	 0.04 	 0.00 	 0.00
Den_P	 0.02 	 0.07 	 0.00 	 0.01
kp	 0.02 	 0.07 	 0.00 	 0.00
8stat	 0.03 	 0.10 	 0.00 	 0.01
ByIMF	 0.04 	 0.12 	 0.00 	 0.02
V_SW	 0.04 	 0.06 	 0.00 	 0.00
DBS	 0.04 	 0.05 	 0.00 	 0.00
G1	 0.04 	 0.18 	 0.00 	 0.03
akp3	 0.04 	 0.07 	 0.00 	 0.01
6stat	 0.05 	 0.14 	 0.00 	 0.02
Pdyn	 0.06 	 0.09 	 0.00 	 0.01
W6	 0.07 	 0.11 	 0.01 	 0.01
W4	 0.08 	 0.14 	 0.01 	 0.02
W1	 0.08 	 0.13 	 0.01 	 0.02
Hr	 0.08 	 0.13 	 0.01 	 0.02
G3	 0.09 	 0.12 	 0.01 	 0.02
W2	 0.11 	 0.13 	 0.01 	 0.02
VBS	 0.11 	 0.14 	 0.01 	 0.02
BS	 0.12 	 0.13 	 0.01 	 0.02
DBz	 0.12 	 0.13 	 0.01 	 0.02
G2	 0.12 	 0.14 	 0.01 	 0.02
W5	 0.12 	 0.14 	 0.01 	 0.02
W3	 0.17 	 0.19 	 0.03 	 0.03
VBz	 0.22 	 0.24 	 0.05 	 0.06
BzIMF	 0.22 	 0.25 	 0.05 	 0.06
Bz1	 0.22 	 0.25 	 0.05 	 0.06
Bz2	 0.22 	 0.25 	 0.05 	 0.06
Bz3	 0.22 	 0.25 	 0.05 	 0.06
Bz4	 0.22 	 0.25 	 0.05 	 0.06
Bz5	 0.22 	 0.25 	 0.05 	 0.06
Bz6	 0.22 	 0.25 	 0.05 	 0.06
Bz+V	 0.23 	 0.26 	 0.05 	 0.07
Hr+Bz	 0.23 	 0.27 	 0.05 	 0.07
dst	 0.26 	 0.27 	 0.07 	 0.08
lnF107	 0.43 	 0.43 	 0.18 	 0.19
F107	 0.43 	 0.43 	 0.19 	 0.19
F107+V	 0.44 	 0.44 	 0.20 	 0.20
F107+Bz	 0.45 	 0.45 	 0.20 	 0.20
Year	 0.49 	 0.49 	 0.24 	 0.24

</pre>
