<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Year	 0.00 	 0.00 	 -0.00 	 -0.00
Day	 0.00 	 0.00 	 -0.00 	 -0.00
G2	 0.01 	 1.00 	 0.00 	 1.00
DBS	 0.02 	 0.03 	 0.00 	 0.00
DBz	 0.10 	 0.12 	 0.01 	 0.01
VBS	 0.29 	 1.00 	 0.08 	 1.00
VBz	 0.29 	 1.00 	 0.08 	 1.00
BzIMF	 0.41 	 1.00 	 0.17 	 1.00
Bz1	 0.41 	 1.00 	 0.17 	 1.00
Bz2	 0.41 	 1.00 	 0.17 	 1.00
Bz3	 0.41 	 1.00 	 0.17 	 1.00
Bz4	 0.41 	 1.00 	 0.17 	 1.00
Bz5	 0.41 	 1.00 	 0.17 	 1.00
Bz6	 0.41 	 1.00 	 0.17 	 1.00
BS	 0.41 	 1.00 	 0.17 	 1.00
ByIMF	 0.56 	 1.00 	 0.31 	 1.00
F107	 0.62 	 0.63 	 0.39 	 0.39
F107+Bz	 0.63 	 0.64 	 0.40 	 0.40
F107+V	 0.63 	 0.64 	 0.40 	 0.40
G3	 0.63 	 1.00 	 0.40 	 1.00
lnF107	 0.64 	 0.64 	 0.40 	 0.41
W4	 0.66 	 1.00 	 0.43 	 1.00
W2	 0.67 	 1.00 	 0.45 	 1.00
8stat	 0.69 	 1.00 	 0.48 	 1.00
W5	 0.70 	 1.00 	 0.49 	 1.00
G1	 0.70 	 1.00 	 0.50 	 1.00
akp3	 0.72 	 1.00 	 0.51 	 1.00
W1	 0.78 	 1.00 	 0.61 	 1.00
Den_P	 0.79 	 1.00 	 0.62 	 1.00
6stat	 0.79 	 1.00 	 0.62 	 1.00
dst	 0.79 	 1.00 	 0.63 	 1.00
kp	 0.80 	 1.00 	 0.65 	 1.00
Pdyn	 0.83 	 1.00 	 0.70 	 1.00
W6	 0.87 	 1.00 	 0.75 	 1.00
V_SW	 0.91 	 1.00 	 0.83 	 1.00
Bz+V	 0.91 	 1.00 	 0.83 	 1.00
W3	 0.93 	 1.00 	 0.87 	 1.00
Hr	 0.95 	 0.95 	 0.90 	 0.90
Hr+Bz	 0.95 	 1.00 	 0.91 	 1.00

</pre>
