<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
ByIMF	 0.00 	 0.02 	 0.00 	 0.00
G1	 0.01 	 0.10 	 0.00 	 0.01
Pdyn	 0.01 	 0.03 	 0.00 	 0.00
Day	 0.01 	 0.25 	 0.00 	 0.06
dst	 0.02 	 0.07 	 0.00 	 0.01
DBS	 0.02 	 0.03 	 0.00 	 0.00
6stat	 0.03 	 0.04 	 0.00 	 0.00
W3	 0.04 	 0.09 	 0.00 	 0.01
Hr	 0.05 	 0.33 	 0.00 	 0.11
G3	 0.05 	 0.06 	 0.00 	 0.00
W4	 0.05 	 0.08 	 0.00 	 0.01
W6	 0.06 	 0.06 	 0.00 	 0.00
8stat	 0.06 	 0.06 	 0.00 	 0.00
kp	 0.06 	 0.10 	 0.00 	 0.01
W1	 0.06 	 0.08 	 0.00 	 0.01
BS	 0.07 	 0.08 	 0.00 	 0.01
akp3	 0.07 	 0.11 	 0.00 	 0.01
G2	 0.07 	 0.08 	 0.01 	 0.01
VBS	 0.07 	 0.08 	 0.01 	 0.01
W2	 0.08 	 0.08 	 0.01 	 0.01
Den_P	 0.08 	 0.09 	 0.01 	 0.01
W5	 0.08 	 0.09 	 0.01 	 0.01
DBz	 0.10 	 0.12 	 0.01 	 0.01
VBz	 0.12 	 0.14 	 0.01 	 0.02
BzIMF	 0.14 	 0.18 	 0.02 	 0.03
Bz1	 0.14 	 0.18 	 0.02 	 0.03
Bz2	 0.14 	 0.18 	 0.02 	 0.03
Bz3	 0.14 	 0.18 	 0.02 	 0.03
Bz4	 0.14 	 0.18 	 0.02 	 0.03
Bz5	 0.14 	 0.18 	 0.02 	 0.03
Bz6	 0.14 	 0.18 	 0.02 	 0.03
Hr+Bz	 0.15 	 0.36 	 0.02 	 0.13
V_SW	 0.20 	 0.22 	 0.04 	 0.05
Bz+V	 0.24 	 0.28 	 0.06 	 0.08
Year	 0.49 	 0.49 	 0.24 	 0.24
F107	 0.62 	 0.63 	 0.39 	 0.39
F107+Bz	 0.63 	 0.64 	 0.40 	 0.40
F107+V	 0.63 	 0.64 	 0.40 	 0.40
lnF107	 0.64 	 0.64 	 0.40 	 0.41

</pre>
