<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Pdyn	 0.00 	 0.02 	 0.00 	 0.00
G1	 0.01 	 0.06 	 0.00 	 0.00
ByIMF	 0.02 	 0.03 	 0.00 	 0.00
DBS	 0.02 	 0.03 	 0.00 	 0.00
Day	 0.03 	 0.08 	 0.00 	 0.01
6stat	 0.03 	 0.04 	 0.00 	 0.00
G3	 0.04 	 0.05 	 0.00 	 0.00
Hr	 0.06 	 0.33 	 0.00 	 0.11
W6	 0.06 	 0.07 	 0.00 	 0.00
BS	 0.07 	 0.09 	 0.00 	 0.01
8stat	 0.07 	 0.07 	 0.00 	 0.01
W4	 0.07 	 0.09 	 0.01 	 0.01
VBS	 0.08 	 0.10 	 0.01 	 0.01
G2	 0.09 	 0.11 	 0.01 	 0.01
W2	 0.09 	 0.10 	 0.01 	 0.01
W1	 0.10 	 0.12 	 0.01 	 0.01
W5	 0.10 	 0.12 	 0.01 	 0.02
DBz	 0.10 	 0.12 	 0.01 	 0.01
Den_P	 0.11 	 0.12 	 0.01 	 0.01
W3	 0.11 	 0.12 	 0.01 	 0.01
VBz	 0.11 	 0.16 	 0.01 	 0.03
kp	 0.12 	 0.20 	 0.01 	 0.04
BzIMF	 0.14 	 0.21 	 0.02 	 0.04
Bz1	 0.14 	 0.21 	 0.02 	 0.04
Bz2	 0.14 	 0.21 	 0.02 	 0.04
Bz3	 0.14 	 0.21 	 0.02 	 0.04
Bz4	 0.14 	 0.21 	 0.02 	 0.04
Bz5	 0.14 	 0.21 	 0.02 	 0.04
Bz6	 0.14 	 0.21 	 0.02 	 0.04
Hr+Bz	 0.15 	 0.38 	 0.02 	 0.14
akp3	 0.16 	 0.26 	 0.03 	 0.07
dst	 0.19 	 0.22 	 0.04 	 0.05
V_SW	 0.29 	 0.31 	 0.09 	 0.10
Bz+V	 0.32 	 0.38 	 0.10 	 0.14
Year	 0.46 	 0.46 	 0.21 	 0.22
F107	 0.62 	 0.63 	 0.39 	 0.39
F107+Bz	 0.63 	 0.64 	 0.40 	 0.40
F107+V	 0.63 	 0.64 	 0.40 	 0.40
lnF107	 0.64 	 0.64 	 0.40 	 0.41

</pre>
