<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
G2	 -0.00 	 -0.00 	 0.09 	 0.96
G3	 -0.00 	 -0.00 	 0.09 	 0.96
W1	 -0.00 	 -0.00 	 0.09 	 0.96
W2	 -0.00 	 -0.00 	 0.09 	 0.96
W4	 -0.00 	 -0.00 	 0.09 	 0.96
W5	 -0.00 	 -0.00 	 0.09 	 0.96
W6	 -0.00 	 -0.00 	 0.09 	 0.96
VBS	 -0.00 	 -0.00 	 0.09 	 0.96
BS	 -0.00 	 -0.00 	 0.09 	 0.96
Year	 0.00 	 NaN 	 0.09 	 0.96
DBS	 0.01 	 0.02 	 0.00 	 0.00
DBz	 0.14 	 0.16 	 0.02 	 0.03
kp	 0.20 	 0.16 	 0.16 	 0.70
Day	 0.25 	 0.28 	 0.14 	 0.95
Pdyn	 0.45 	 0.24 	 0.20 	 0.80
VBz	 0.45 	 0.28 	 0.25 	 0.83
8stat	 0.48 	 0.59 	 0.36 	 0.98
Hr	 0.50 	 -0.19 	 0.28 	 -4e+01
BzIMF	 0.53 	 0.26 	 0.34 	 0.82
Bz1	 0.53 	 0.26 	 0.34 	 0.82
Bz2	 0.53 	 0.26 	 0.34 	 0.82
Bz3	 0.53 	 0.26 	 0.34 	 0.82
Bz4	 0.53 	 0.26 	 0.34 	 0.82
Bz5	 0.53 	 0.26 	 0.34 	 0.82
Bz6	 0.53 	 0.26 	 0.34 	 0.82
F107	 0.58 	 0.58 	 0.33 	 0.33
F107+V	 0.58 	 0.58 	 0.33 	 0.34
lnF107	 0.58 	 0.58 	 0.34 	 0.34
F107+Bz	 0.59 	 0.59 	 0.35 	 0.35
ByIMF	 0.59 	 0.82 	 0.47 	 0.97
Hr+Bz	 0.63 	 -0.20 	 0.44 	 -3e+02
dst	 0.80 	 0.29 	 0.66 	 0.84
6stat	 0.81 	 0.60 	 0.72 	 0.98
G1	 0.82 	 0.16 	 0.72 	 0.70
Den_P	 0.86 	 1.00 	 0.78 	 1.00
akp3	 0.88 	 0.56 	 0.81 	 0.95
W3	 0.93 	 0.98 	 0.88 	 1.00
Bz+V	 0.97 	 0.87 	 0.94 	 0.99
V_SW	 0.97 	 0.87 	 0.93 	 0.99

</pre>
