<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv  +-CCtr  +-NNtr  +-CCt   +-NNt   +-CCv   +-NNv
DoY      	- +0.04 +0.43 +0.15 +0.25 +0.17 +0.32 0.03 0.12 0.10 0.21 0.11 0.21 
B_z      	- +0.08 +0.30 +0.17 +0.10 +0.12 +0.17 0.05 0.12 0.14 0.24 0.10 0.18 
V_{sw}      	- +0.05 +0.25 +0.18 +0.05 +0.12 +0.14 0.03 0.14 0.10 0.23 0.09 0.22 
D_{st}      	- +0.03 +0.19 +0.15 +0.01 +0.17 +0.06 0.03 0.10 0.10 0.18 0.11 0.21 
MLT      	- +0.20 +0.47 +0.33 +0.16 +0.32 +0.16 0.08 0.13 0.20 0.34 0.20 0.36 
F_{10.7}      	- +0.50 +0.54 +0.50 +0.39 +0.50 +0.51 0.04 0.15 0.14 0.20 0.16 0.14 
\rho_{sw}      	- +0.10 +0.34 +0.27 +0.10 +0.28 +0.19 0.08 0.12 0.17 0.24 0.13 0.27 
DoY+B_z   	- +0.10 +0.43 +0.26 +0.14 +0.26 +0.24 0.04 0.13 0.11 0.21 0.11 0.27 
DoY+V_{sw}   	- +0.07 +0.45 +0.25 +0.14 +0.22 +0.22 0.04 0.10 0.09 0.20 0.10 0.22 
DoY+D_{st}   	- +0.07 +0.38 +0.25 +0.06 +0.24 +0.22 0.05 0.13 0.14 0.19 0.10 0.21 
DoY+MLT   	- +0.23 +0.59 +0.44 +0.22 +0.37 +0.46 0.08 0.18 0.18 0.31 0.15 0.29 
DoY+F_{10.7}   	- +0.51 +0.64 +0.57 +0.51 +0.57 +0.53 0.05 0.09 0.14 0.18 0.15 0.16 
DoY+\rho_{sw}   	- +0.14 +0.47 +0.35 +0.11 +0.32 +0.28 0.08 0.17 0.16 0.25 0.17 0.26 
B_z+V_{sw}   	- +0.11 +0.36 +0.26 +0.08 +0.26 +0.18 0.04 0.10 0.12 0.20 0.12 0.20 
B_z+D_{st}   	- +0.09 +0.33 +0.25 +0.05 +0.27 +0.17 0.04 0.11 0.13 0.17 0.13 0.22 
B_z+MLT   	- +0.26 +0.50 +0.40 +0.13 +0.44 +0.31 0.10 0.15 0.21 0.37 0.17 0.28 
B_z+F_{10.7}   	- +0.50 +0.57 +0.53 +0.45 +0.56 +0.46 0.04 0.12 0.14 0.17 0.16 0.21 
B_z+\rho_{sw}   	- +0.17 +0.40 +0.40 +0.02 +0.42 +0.15 0.07 0.18 0.18 0.25 0.18 0.28 
V_{sw}+D_{st}   	- +0.07 +0.23 +0.24 -0.05 +0.24 +0.05 0.04 0.11 0.12 0.17 0.10 0.16 
V_{sw}+MLT   	- +0.20 +0.50 +0.41 +0.22 +0.40 +0.32 0.07 0.18 0.22 0.30 0.19 0.29 
V_{sw}+F_{10.7}   	- +0.49 +0.56 +0.53 +0.44 +0.58 +0.54 0.04 0.07 0.12 0.17 0.12 0.14 
V_{sw}+\rho_{sw}   	- +0.14 +0.51 +0.33 +0.20 +0.35 +0.32 0.08 0.13 0.14 0.26 0.14 0.29 
D_{st}+MLT   	- +0.30 +0.51 +0.52 +0.14 +0.49 +0.30 0.09 0.18 0.21 0.33 0.17 0.32 
D_{st}+F_{10.7}   	- +0.51 +0.60 +0.51 +0.46 +0.57 +0.51 0.05 0.08 0.14 0.17 0.12 0.16 
D_{st}+\rho_{sw}   	- +0.16 +0.41 +0.37 +0.09 +0.38 +0.20 0.07 0.17 0.16 0.29 0.16 0.22 
MLT+F_{10.7}   	- +0.65 +0.71 +0.69 +0.53 +0.69 +0.65 0.03 0.09 0.16 0.24 0.13 0.17 
MLT+\rho_{sw}   	- +0.29 +0.57 +0.63 +0.14 +0.57 +0.22 0.07 0.18 0.15 0.40 0.19 0.37 
F_{10.7}+\rho_{sw}   	- +0.53 +0.62 +0.60 +0.42 +0.57 +0.55 0.05 0.23 0.17 0.33 0.16 0.31 
DoY+B_z+V_{sw}   	- +0.12 +0.40 +0.31 -0.01 +0.31 +0.21 0.04 0.13 0.12 0.23 0.12 0.20 
DoY+B_z+D_{st}   	- +0.11 +0.38 +0.31 +0.10 +0.33 +0.14 0.04 0.14 0.11 0.26 0.12 0.21 
DoY+B_z+MLT   	- +0.28 +0.64 +0.49 +0.21 +0.52 +0.41 0.09 0.14 0.21 0.29 0.19 0.30 
