<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Day	 0.00 	 0.62 	 -0.00 	 0.38
DBS	 0.01 	 0.02 	 0.00 	 0.00
DBz	 0.14 	 0.16 	 0.02 	 0.03
G3	 0.37 	 0.92 	 0.13 	 0.84
BS	 0.37 	 0.77 	 0.14 	 0.58
VBS	 0.37 	 0.80 	 0.14 	 0.64
G2	 0.39 	 0.91 	 0.15 	 0.83
W4	 0.41 	 0.98 	 0.16 	 0.96
W6	 0.43 	 0.97 	 0.18 	 0.94
W5	 0.46 	 0.94 	 0.21 	 0.88
W2	 0.46 	 0.95 	 0.21 	 0.90
kp	 0.46 	 0.96 	 0.21 	 0.92
G1	 0.46 	 0.96 	 0.21 	 0.93
W1	 0.50 	 0.99 	 0.24 	 0.98
VBz	 0.57 	 0.99 	 0.33 	 0.97
F107	 0.58 	 0.58 	 0.33 	 0.33
F107+V	 0.58 	 0.58 	 0.33 	 0.34
lnF107	 0.58 	 0.58 	 0.34 	 0.34
F107+Bz	 0.59 	 0.59 	 0.35 	 0.35
BzIMF	 0.59 	 0.99 	 0.35 	 0.97
Bz1	 0.59 	 0.99 	 0.35 	 0.97
Bz2	 0.59 	 0.99 	 0.35 	 0.97
Bz3	 0.59 	 0.99 	 0.35 	 0.97
Bz4	 0.59 	 0.99 	 0.35 	 0.97
Bz5	 0.59 	 0.99 	 0.35 	 0.97
Bz6	 0.59 	 0.99 	 0.35 	 0.97
akp3	 0.68 	 0.99 	 0.46 	 0.98
Pdyn	 0.81 	 0.98 	 0.64 	 0.95
ByIMF	 0.83 	 0.97 	 0.69 	 0.93
Den_P	 0.83 	 0.97 	 0.66 	 0.93
dst	 0.84 	 0.99 	 0.70 	 0.98
W3	 0.90 	 0.99 	 0.81 	 0.98
V_SW	 0.91 	 1.00 	 0.83 	 1.00
Hr	 0.91 	 0.97 	 0.82 	 0.92
Hr+Bz	 0.91 	 1.00 	 0.82 	 0.99
Bz+V	 0.91 	 0.98 	 0.83 	 0.94
Year	 NaN 	 NaN 	 -0.00 	 -0.00
8stat	 NaN 	 NaN 	 -0.00 	 -0.00
6stat	 NaN 	 0.74 	 -0.00 	 0.54

</pre>
