<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Year	 0.00 	 0.00 	 0.00 	 0.00
DBS	 0.01 	 0.02 	 0.00 	 0.00
Den_P	 0.06 	 0.94 	 0.00 	 0.89
W4	 0.09 	 0.97 	 0.01 	 0.94
DBz	 0.14 	 0.16 	 0.02 	 0.03
W1	 0.22 	 0.97 	 0.05 	 0.95
8stat	 0.29 	 0.77 	 0.09 	 0.59
Day	 0.30 	 0.66 	 0.09 	 0.43
kp	 0.35 	 0.95 	 0.12 	 0.90
W2	 0.42 	 0.96 	 0.18 	 0.93
Pdyn	 0.43 	 0.97 	 0.18 	 0.95
VBS	 0.49 	 0.96 	 0.24 	 0.92
BS	 0.49 	 0.96 	 0.25 	 0.93
W5	 0.51 	 0.96 	 0.26 	 0.92
W6	 0.52 	 0.96 	 0.27 	 0.92
G1	 0.53 	 0.90 	 0.28 	 0.80
G2	 0.53 	 0.96 	 0.28 	 0.92
G3	 0.53 	 0.96 	 0.28 	 0.91
Hr	 0.53 	 0.93 	 0.28 	 0.87
F107	 0.58 	 0.58 	 0.33 	 0.33
F107+V	 0.58 	 0.58 	 0.33 	 0.34
lnF107	 0.58 	 0.58 	 0.34 	 0.34
F107+Bz	 0.59 	 0.59 	 0.35 	 0.35
ByIMF	 0.59 	 0.95 	 0.35 	 0.91
akp3	 0.61 	 0.96 	 0.38 	 0.92
BzIMF	 0.65 	 0.95 	 0.42 	 0.90
Bz1	 0.65 	 0.95 	 0.42 	 0.90
Bz2	 0.65 	 0.95 	 0.42 	 0.90
Bz3	 0.65 	 0.95 	 0.42 	 0.90
Bz4	 0.65 	 0.95 	 0.42 	 0.90
Bz5	 0.65 	 0.95 	 0.42 	 0.90
Bz6	 0.65 	 0.95 	 0.42 	 0.90
Hr+Bz	 0.68 	 1.00 	 0.47 	 1.00
VBz	 0.71 	 0.95 	 0.50 	 0.91
V_SW	 0.75 	 0.99 	 0.57 	 0.98
6stat	 0.80 	 0.96 	 0.64 	 0.91
dst	 0.82 	 0.98 	 0.68 	 0.95
W3	 0.85 	 0.97 	 0.73 	 0.95
Bz+V	 0.86 	 1.00 	 0.74 	 1.00

</pre>
