<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Pdyn	 -0.21 	 0.79 	 0.05 	 0.80
Day	 -0.14 	 0.03 	 0.07 	 0.90
G2	 -0.00 	 -0.00 	 0.07 	 0.93
G3	 -0.00 	 -0.00 	 0.07 	 0.93
VBS	 -0.00 	 -0.00 	 0.07 	 0.93
BS	 -0.00 	 -0.00 	 0.07 	 0.93
6stat	 0.00 	 -0.00 	 0.07 	 0.93
DBS	 0.01 	 0.02 	 0.00 	 0.00
G1	 0.09 	 0.59 	 0.02 	 0.95
DBz	 0.14 	 0.16 	 0.02 	 0.03
kp	 0.29 	 0.59 	 0.14 	 0.95
BzIMF	 0.30 	 -0.17 	 0.20 	 0.49
Bz1	 0.30 	 -0.17 	 0.20 	 0.49
Bz2	 0.30 	 -0.17 	 0.20 	 0.49
Bz3	 0.30 	 -0.17 	 0.20 	 0.49
Bz4	 0.30 	 -0.17 	 0.20 	 0.49
Bz5	 0.30 	 -0.17 	 0.20 	 0.49
Bz6	 0.30 	 -0.17 	 0.20 	 0.49
VBz	 0.34 	 -0.17 	 0.24 	 0.50
Den_P	 0.37 	 0.68 	 0.17 	 0.19
Hr	 0.37 	 -0.49 	 0.17 	 -6e+01
Hr+Bz	 0.39 	 -0.37 	 0.21 	 -1.29
ByIMF	 0.42 	 -0.46 	 0.12 	 -1e+01
8stat	 0.42 	 0.56 	 0.22 	 0.94
V_SW	 0.51 	 0.65 	 0.39 	 0.96
Bz+V	 0.51 	 0.65 	 0.39 	 0.96
F107	 0.58 	 0.58 	 0.33 	 0.33
F107+V	 0.58 	 0.58 	 0.33 	 0.34
lnF107	 0.58 	 0.58 	 0.34 	 0.34
F107+Bz	 0.59 	 0.59 	 0.35 	 0.35
W5	 0.60 	 0.59 	 0.33 	 0.95
W6	 0.65 	 0.63 	 0.40 	 0.95
dst	 0.65 	 0.06 	 0.27 	 0.79
akp3	 0.67 	 0.48 	 0.55 	 0.93
W2	 0.70 	 0.55 	 0.46 	 0.94
W3	 0.70 	 0.36 	 0.60 	 0.90
W4	 0.75 	 0.44 	 0.53 	 0.92
W1	 0.80 	 0.50 	 0.64 	 0.93
Year	 NaN 	 -0.00 	 0.07 	 0.93

</pre>
