<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Den_P	 -0.21 	 0.95 	 0.02 	 0.99
Pdyn	 -0.06 	 0.91 	 -0.01 	 0.90
dst	 -0.03 	 0.87 	 0.06 	 0.97
Hr	 -0.00 	 -0.64 	 0.07 	 -1e+02
Year	 -0.00 	 -0.00 	 0.08 	 0.88
G2	 -0.00 	 -0.00 	 0.08 	 0.88
G3	 -0.00 	 -0.00 	 0.08 	 0.88
8stat	 -0.00 	 -0.00 	 0.08 	 0.88
W5	 -0.00 	 -0.00 	 0.08 	 0.88
6stat	 -0.00 	 -0.00 	 0.08 	 0.88
VBS	 -0.00 	 -0.00 	 0.08 	 0.88
BS	 -0.00 	 -0.00 	 0.08 	 0.88
DBS	 0.01 	 0.02 	 0.00 	 0.00
Hr+Bz	 0.12 	 -0.55 	 0.08 	 -2.98
BzIMF	 0.12 	 0.87 	 0.08 	 0.76
Bz1	 0.12 	 0.87 	 0.08 	 0.76
Bz2	 0.12 	 0.87 	 0.08 	 0.76
Bz3	 0.12 	 0.87 	 0.08 	 0.76
Bz4	 0.12 	 0.87 	 0.08 	 0.76
Bz5	 0.12 	 0.87 	 0.08 	 0.76
Bz6	 0.12 	 0.87 	 0.08 	 0.76
DBz	 0.14 	 0.16 	 0.02 	 0.03
VBz	 0.15 	 0.89 	 0.12 	 0.84
kp	 0.19 	 1.00 	 0.17 	 1.00
W6	 0.37 	 0.10 	 0.28 	 0.90
Day	 0.48 	 0.94 	 0.29 	 0.97
F107	 0.58 	 0.58 	 0.33 	 0.33
F107+V	 0.58 	 0.58 	 0.33 	 0.34
lnF107	 0.58 	 0.58 	 0.34 	 0.34
F107+Bz	 0.59 	 0.59 	 0.35 	 0.35
W2	 0.60 	 0.15 	 0.39 	 0.90
W4	 0.69 	 0.20 	 0.53 	 0.90
akp3	 0.81 	 0.93 	 0.72 	 0.94
ByIMF	 0.82 	 0.85 	 0.74 	 0.97
W1	 0.82 	 1.00 	 0.65 	 1.00
G1	 0.85 	 0.51 	 0.76 	 0.91
V_SW	 0.87 	 0.86 	 0.81 	 0.71
W3	 0.88 	 1.00 	 0.82 	 1.00
Bz+V	 0.92 	 0.86 	 0.88 	 0.71

</pre>
