<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
lnF107	 -0.00 	 -0.00 	 -0.00 	 -0.00
F107	 0.00 	 0.01 	 0.00 	 0.00
G1	 0.00 	 0.09 	 0.00 	 0.01
Hr	 0.00 	 0.37 	 0.00 	 0.14
Day	 0.01 	 0.23 	 0.00 	 0.05
W6	 0.02 	 0.09 	 0.00 	 0.01
G3	 0.03 	 0.09 	 0.00 	 0.01
W3	 0.03 	 0.09 	 0.00 	 0.01
W4	 0.03 	 0.08 	 0.00 	 0.01
dst	 0.04 	 0.08 	 0.00 	 0.01
ByIMF	 0.05 	 0.05 	 0.00 	 0.00
W1	 0.05 	 0.08 	 0.00 	 0.01
Year	 0.06 	 0.06 	 0.00 	 0.00
W2	 0.07 	 0.08 	 0.00 	 0.01
kp	 0.07 	 0.13 	 0.01 	 0.02
8stat	 0.08 	 0.09 	 0.01 	 0.01
W5	 0.08 	 0.08 	 0.01 	 0.01
6stat	 0.08 	 0.09 	 0.01 	 0.01
DBS	 0.08 	 0.10 	 0.01 	 0.01
akp3	 0.08 	 0.16 	 0.01 	 0.03
G2	 0.09 	 0.09 	 0.01 	 0.01
VBS	 0.09 	 0.09 	 0.01 	 0.01
BS	 0.09 	 0.10 	 0.01 	 0.01
Pdyn	 0.11 	 0.14 	 0.01 	 0.02
F107+V	 0.11 	 0.13 	 0.01 	 0.02
DBz	 0.13 	 0.15 	 0.02 	 0.02
F107+Bz	 0.13 	 0.15 	 0.02 	 0.02
VBz	 0.14 	 0.17 	 0.02 	 0.03
BzIMF	 0.16 	 0.21 	 0.03 	 0.04
Bz1	 0.16 	 0.21 	 0.03 	 0.04
Bz2	 0.16 	 0.21 	 0.03 	 0.04
Bz3	 0.16 	 0.21 	 0.03 	 0.04
Bz4	 0.16 	 0.21 	 0.03 	 0.04
Bz5	 0.16 	 0.21 	 0.03 	 0.04
Bz6	 0.16 	 0.21 	 0.03 	 0.04
Hr+Bz	 0.16 	 0.41 	 0.03 	 0.17
V_SW	 0.17 	 0.21 	 0.03 	 0.05
Den_P	 0.19 	 0.23 	 0.03 	 0.05
Bz+V	 0.23 	 0.30 	 0.05 	 0.09

</pre>
