<pre>
Input 	 CC1 	 CC12 	 PE(1) 	 PE(12)
Hr	 -0.09 	 -0.10 	 -0.05 	 -5e+19
dst	 -0.02 	 0.03 	 -0.01 	 -0.00
Pdyn	 -0.01 	 0.02 	 -0.01 	 -0.00
W3	 0.00 	 0.07 	 -0.01 	 -0.00
ByIMF	 0.01 	 0.02 	 -0.00 	 -0.00
Day	 0.02 	 0.02 	 -0.00 	 -0.00
G1	 0.02 	 0.06 	 -0.00 	 -0.00
Hr+Bz	 0.03 	 -0.10 	 -0.03 	 -7e+19
DBS	 0.04 	 0.05 	 -0.00 	 -0.00
6stat	 0.04 	 0.04 	 -0.00 	 -0.00
8stat	 0.05 	 0.05 	 -0.00 	 -0.00
G3	 0.06 	 0.06 	 -0.00 	 -0.00
W6	 0.06 	 0.06 	 -0.00 	 -0.00
W4	 0.06 	 0.06 	 -0.00 	 -0.00
Den_P	 0.07 	 0.08 	 0.00 	 0.00
BS	 0.08 	 0.08 	 0.00 	 0.00
W1	 0.08 	 0.08 	 0.00 	 0.00
G2	 0.08 	 0.08 	 0.00 	 0.00
VBS	 0.08 	 0.08 	 0.00 	 0.00
W2	 0.08 	 0.09 	 0.00 	 0.00
W5	 0.09 	 0.09 	 0.00 	 0.00
kp	 0.10 	 0.13 	 0.00 	 0.01
akp3	 0.11 	 0.15 	 0.01 	 0.02
DBz	 0.12 	 0.13 	 0.01 	 0.01
VBz	 0.12 	 0.16 	 0.01 	 0.02
BzIMF	 0.14 	 0.20 	 0.02 	 0.03
Bz1	 0.14 	 0.20 	 0.02 	 0.03
Bz2	 0.14 	 0.20 	 0.02 	 0.03
Bz3	 0.14 	 0.20 	 0.02 	 0.03
Bz4	 0.14 	 0.20 	 0.02 	 0.03
Bz5	 0.14 	 0.20 	 0.02 	 0.03
Bz6	 0.14 	 0.20 	 0.02 	 0.03
V_SW	 0.19 	 0.20 	 0.03 	 0.03
Bz+V	 0.23 	 0.28 	 0.05 	 0.07
Year	 0.36 	 0.36 	 0.12 	 0.12
lnF107	 0.43 	 0.43 	 0.18 	 0.18
F107	 0.43 	 0.43 	 0.18 	 0.18
F107+V	 0.44 	 0.44 	 0.19 	 0.19
F107+Bz	 0.45 	 0.45 	 0.19 	 0.20

</pre>
